Month,Year,Sunshine,Wind Speed,Rainfall,Temperature,Humidity
Jan,2016,8.6,9,0.0,26.2,27
Feb,2016,6.8,7,0.0,29.9,39
Mar,2016,6.5,8,52.6,31.1,73
Apr,2016,7.2,9,76.9,30.3,73
May,2016,7.0,7,233.1,28.8,75
Jun,2016,6.0,6,50.9,27.6,80
Jul,2016,4.4,6,265.2,27.1,79
Aug,2016,4.7,6,214.0,27.0,80
Sep,2016,4.6,6,190.2,27.0,79
Oct,2016,5.7,6,96.1,27.9,75
Nov,2016,7.7,7,0.0,28.9,62
Dec,2016,6.9,7,0.0,27.2,43
Jan,2017,6.9,8,0.0,28.2,40
Feb,2017,7.2,8,0.0,29.1,52
Mar,2017,6.0,10,0.0,33.0,51
Apr,2017,8.0,10,86.2,30.9,61
May,2017,6.4,8,223.6,28.8,72
Jun,2017,6.1,7,229.2,27.8,77
Jul,2017,3.2,7,92.2,27.2,78
Aug,2017,4.6,7,224.3,26.6,80
Sep,2017,4.3,7,145.6,27.1,77
Oct,2017,5.5,7,49.5,28.3,75
Nov,2017,7.6,7,0.0,28.3,61
Dec,2017,8.0,8,0.0,27.5,45
Jan,2018,7.3,9,0.0,25.8,39
Feb,2018,4.9,9,17.2,30.9,36
Mar,2018,6.6,10,0.0,31.6,52
Apr,2018,6.9,10,55.0,30.4,62
May,2018,5.0,8,145.8,28.8,71
Jun,2018,5.0,7,139.7,27.3,76
Jul,2018,4.0,7,102.9,26.8,79
Aug,2018,2.8,7,216.1,26.5,79
Sep,2018,3.6,6,213.3,26.7,77
Oct,2018,5.5,6,130.1,27.5,75
Nov,2018,6.5,6,6.0,28.1,66
Dec,2018,6.8,8,0.0,25.6,39
Jan,2019,3.3,8,0.0,27.8,41
Feb,2019,7.0,8,36.0,28.8,43
Mar,2019,5.1,10,1.4,31.3,56
Apr,2019,6.9,9,64.1,29.6,69
May,2019,6.7,8,71.3,28.3,74
Jun,2019,4.0,7,139.0,27.3,74
Jul,2019,3.7,7,186.6,27.1,79
Aug,2019,3.0,6,183.8,26.8,82
Sep,2019,4.5,6,254.6,27.0,81
Oct,2019,5.3,5,310.6,26.5,81
Nov,2019,7.5,6,48.1,27.2,71
Dec,2019,7.6,7,0.0,24.0,46
Jan,2020,5.5,9,0.0,24.9,33
Feb,2020,6.2,8,0.0,28.2,26
Mar,2020,5.7,9,4.4,31.3,51
Apr,2020,6.1,9,63.5,30.4,61
May,2020,6.6,8,88.7,28.8,73
Jun,2020,6.8,7,163.5,28.0,77
Jul,2020,6.1,6,272.7,27.3,80
Aug,2020,6.2,7,109.3,27.1,75
Sep,2020,5.6,6,287.2,26.4,82
Oct,2020,6.6,6,60.9,27.3,77
Nov,2020,6.8,7,0.3,27.9,54
Dec,2020,6.0,7,0.0,27.7,50
Jan,2021,5.5,7,0.0,27.0,42
Feb,2021,4.5,8,0.0,28.2,32
Mar,2021,5.3,9,0.0,30.2,48
Apr,2021,6.0,10,67.4,30.3,57
May,2021,7.2,8,128.1,28.8,71
Jun,2021,5.2,6,191.9,26.4,77
Jul,2021,4.9,7,134.2,25.6,79
Aug,2021,6.0,6,257.3,25.8,79
Sep,2021,5.3,6,282.9,25.8,82
Oct,2021,6.3,7,172.0,26.9,90
Nov,2021,7.4,8,5.8,28.0,79
Dec,2021,5.6,8,1.2,27.0,46
Jan,2022,6.3,9,0.0,27.3,38
Feb,2022,7.7,8,0.0,28.7,37
Mar,2022,6.3,9,0.0,32.7,62
Apr,2022,7.9,8,112.9,29.9,74
May,2022,6.8,7,84.7,28.8,79
Jun,2022,6.0,7,179.1,27.5,83
Jul,2022,3.7,7,183.4,27.0,85
Aug,2022,5.2,7,298.0,26.4,84
Sep,2022,5.8,7,229.9,26.6,86
Oct,2022,6.1,6,144.8,27.3,81
Nov,2022,7.8,7,0.0,27.9,62
Dec,2022,5.9,8,0.0,26.7,47
Jan,2023,6.9,9,0.0,28.0,43
Feb,2023,6.8,8,0.0,30.3,45
Mar,2023,5.7,9,0.5,31.3,57
Apr,2023,6.8,9,100.9,30.6,63
May,2023,7.0,8,207.1,29.1,70
Jun,2023,6.6,7,128.1,27.3,78
Jul,2023,5.9,7,132.5,27.8,76
Aug,2023,5.0,7,145.9,27.0,80
Sep,2023,5.6,7,449.5,26.9,81
Oct,2023,7.4,7,131.7,28.3,76
Nov,2023,8.4,6,43.8,28.6,71
Dec,2023,8.5,7,0.0,27.6,45
Jan,2024,6.8,7,0.0,27.8,32
Feb,2024,8.4,8,0.7,31.1,33
Mar,2024,6.9,9,0.0,33.5,55
Apr,2024,7.0,10,31.3,32.1,61
May,2024,6.6,8,89.5,30.2,70
Jun,2024,5.8,7,373.3,28.1,77
Jul,2024,4.3,7,307.0,27.7,79
Aug,2024,4.4,8,122.0,27.5,77
Sep,2024,5.9,6,158.9,27.9,79
Oct,2024,6.5,6,149.0,28.0,78
Nov,2024,7.3,8,0.0,28.3,49
Dec,2024,5.6,10,0.0,27.5,37
Jan,2025,8.6,8,0.0,29.9,37
Feb,2025,6.8,8,0.2,31.2,39
Mar,2025,6.5,11,1.7,32.7,58
Apr,2025,7.2,10,45.1,31.1,66
May,2025,0.0,0,0.0,0.0,0
Jun,2025,0.0,0,0.0,0.0,0
Jul,2025,0.0,0,0.0,0.0,0
Aug,2025,0.0,0,0.0,0.0,0
Sep,2025,0.0,0,0.0,0.0,0
Oct,2025,0.0,0,0.0,0.0,0
Nov,2025,0.0,0,0.0,0.0,0
Dec,2025,0.0,0,0.0,0.0,0
